,Brands,Model,Colors,RAM,ROM,Battery,Screen_Size,Prices
0,SAMSUNG,Galaxy,Blue),4,64,7040,26.42,24999
1,SAMSUNG,Galaxy,Mystic Black),6,128,10090,31.5,47999
2,realme,Pad,Grey),4,64,7100,26.42,16499
3,realme,Pad,Gold),4,64,7100,26.42,16499
4,realme,Pad,Grey),3,32,7100,26.42,11999
5,Lenovo,Tab,Platinum Grey),4,128,5000,26.16,14999
6,MOTOROLA,Tab,Frost Blue),4,64,7700,26.95,17499
7,realme,Pad,Blue),4,64,6400,22.1,13999
8,realme,Pad,Glowing Grey),6,128,8340,27.94,27999
9,realme,Pad,Glacier Blue),2,128,2685,27.94,27999
10,MOTOROLA,tab,Modernist Teal),6,128,8340,27.94,22999
11,SAMSUNG,Galaxy,Silver),6,32,7700,26.67,13999
12,realme,Pad,Grey),3,64,7040,22.1,13999
13,APPLE,iPad,10th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only ,2,64,2685,27.69,42999
14,REDMI,Pad,Graphite Gray),4,128,6400,26.95,16999
15,SAMSUNG,Galaxy,Silver),4,128,8000,31.5,66999
16,realme,Pad,Blue),2,64,2685,22.1,10999
17,APPLE,iPad,4th Gen) 128 GB ROM 11.0 inch with Wi-Fi Only ,8,128,10090,27.94,78670
18,realme,Pad,Blue),4,32,6400,22.1,10999
19,realme,Pad,Grey),3,32,6400,26.42,13999
20,SAMSUNG,Galaxy,Gray),3,32,7100,26.67,13999
21,Honor,Pad,Blue Hour),3,128,7040,30.48,17999
22,APPLE,iPad,10th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only ,4,64,7250,27.69,42499
23,Lenovo,Tab,Storm Grey),6,128,7700,26.95,19999
24,APPLE,iPad,10th Gen) 256 GB ROM 10.9 inch with Wi-Fi Only ,3,256,2685,27.69,57500
25,APPLE,iPad,10th Gen) 256 GB ROM 10.9 inch with Wi-Fi Only ,6,256,6400,27.69,57500
26,realme,Pad,Grey),6,32,6400,22.1,8999
27,realme,Pad,Grey),4,128,7100,26.42,19999
28,realme,Pad,Gold),3,128,7100,26.42,19999
29,Lenovo,Tab,Abyss Blue),4,64,7500,26.16,16480
30,APPLE,iPad,10th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only ,2,64,2685,27.69,42499
31,APPLE,iPad,10th Gen) 256 GB ROM 10.9 inch with Wi-Fi Only ,4,256,6400,27.69,57166
32,APPLE,iPad,6th Gen) 64 GB ROM 8.3 inch with Wi-Fi Only ,2,64,6400,21.08,44759
33,APPLE,iPad,4th Gen) 256 GB ROM 10.9 inch with Wi-Fi Only ,2,256,2685,27.69,62499
34,realme,Pad,Grey),2,32,2685,22.1,10999
35,APPLE,iPad,9th Gen) 64 GB ROM 10.2 inch with Wi-Fi+5G ,3,64,5000,25.91,38900
36,Lenovo,M10,2nd Gen) with Active Pen 4 GB RAM 128 GB ROM 10.3 inches with Wi-Fi+4G Tablet ,4,128,7500,26.16,18999
37,Lenovo,Tab,Platinum Grey),4,128,3000,27.94,19999
38,APPLE,iPad,4th Gen) 128 GB ROM 11.0 inch with Wi-Fi+5G ,2,128,2685,27.94,92477
39,I,Kall,White),6,16,7000,17.78,3514
40,Lenovo,M10,Slate Black),2,32,2685,25.65,11999
